Work Item ID,Issue Type,Parent ID,Epic Link,Summary,Description,Owner,Channel,Start Date,Due Date
T001,Task,,,Content - Blog (Cerkl.com) - Microsoft Teams for Internal Communications — A 2026 Playbook,"Topic: Practical playbook for using Microsoft Teams in internal communications, where Teams works well, and where an IC platform extends it
Slug: microsoft-teams-internal-communications
Brief link: ../seo/briefs/microsoft-teams-internal-communications.md
Primary keyword: Microsoft Teams internal communications
Secondary keywords: Teams for employee comms, Microsoft Teams internal communications app, Teams company-wide announcements, Microsoft Teams omni-channel internal comms, Teams plus internal comms platform
Webflow CMS properties:
  - Primary Category: mobile-employee-experience
  - Primary Solution: Omni AI
  - All Categories: AI in IC
Draft (Google Doc): https://docs.google.com/document/d/1m5y1K2HXbmDbBS6MdWkkdInyjqKdNBBZgkwUXLWmQ1I/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-02,2026-06-08
S001,Subtask,T001,,Blog – Copy,Write the blog post copy from the brief / outline.,,Blog Posts,2026-06-02,2026-06-03
S002,Subtask,T001,,Blog – Image Creation,Create or source images per the post outline.,,Blog Posts,2026-06-03,2026-06-04
S003,Subtask,T001,,Blog – Approval,Review draft + edit pass; sign off for publishing.,,Blog Posts,2026-06-04,2026-06-05
S004,Subtask,T001,,Blog – Implementation / Publishing,Stage in Webflow with CMS properties; schedule publish.,,Blog Posts,2026-06-05,2026-06-08
T002,Task,,,Content - Blog (ICP) - What inclusive internal comms actually looks like (beyond box-checking),"Topic: Inclusive internal comms as a practical discipline beyond surface-level DEI messaging
Slug: what-inclusive-internal-comms-actually-looks-like-beyond
Note: ICPro has no brief queue — slug synthesized from the deliverable title at scaffold time
Draft (Google Doc): https://docs.google.com/document/d/1D9hXqHdBfQ1GGNUBm-insrmRcKkGlWXV1c9SXEh73jw/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-02,2026-06-09
S005,Subtask,T002,,Blog – Copy,Write the blog post copy from the outline.,,Blog Posts,2026-06-02,2026-06-03
S006,Subtask,T002,,Blog – Image Creation,Create or source images per the post outline.,,Blog Posts,2026-06-03,2026-06-04
S007,Subtask,T002,,Blog – Approval,Review draft + edit pass; sign off for publishing.,,Blog Posts,2026-06-04,2026-06-08
S008,Subtask,T002,,Blog – Implementation / Publishing,Stage in Wix with CMS properties; schedule publish.,,Blog Posts,2026-06-08,2026-06-09
T003,Task,,,Social Media - LinkedIn - Financial services IC's double mandate,"Topic: Static theme post on the double mandate of financial services IC (engagement + audit evidence) and the architecture that serves both from the same send
Post type: static-theme
Wraps: internal-communications-in-financial-services
Copy:
Asset: https://www.canva.com/d/MLkpEOjWTb04j6W

A regulator asks for all internal communications sent to a specific audience over a specific date range. The IC team has the open rate. That is not the answer to the question.

For financial services internal comms teams, every message has to do two jobs at once. Land with employees (read, understand, act) and produce audit-grade evidence (who received, who acknowledged, when, on what device). Same send, same stack.

The trap most teams fall into is defaulting to one mandate and letting the other slip. Compliance-first programs become legal newsletters nobody reads. Engagement-first programs produce read-but-not-acknowledged content that surfaces at the next exam. Neither version holds up.

The 2026 architecture serves both from the same send. Dynamic audience segmentation that mirrors information-barrier topology. Channel-preference handling across email, mobile, Teams, SharePoint. Audit-grade record-keeping that feeds Smarsh, Global Relay, or Microsoft Purview cleanly. Receipt evidence as a first-class output, not an afterthought.

The leading indicator the compliance team should be asking about is the acknowledgment completion rate, not the open rate. ""We sent the new code of conduct to 4,000 employees, 3,200 acknowledged within 14 days"" is a number that holds up under examination. The follow-up cadence to chase the remaining 800 is the operational discipline that makes the compliance side of the program work.

A financial services IC team designing for engagement only is a team waiting for an exam finding. A team designing for compliance only is a team whose program nobody reads.

Both jobs. Same send. Same stack.

#InternalCommunications #FinancialServices #EmployeeEngagement",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-06-05,2026-06-09
S009,Subtask,T003,,LinkedIn – Copy,Draft the post copy.,,Social Media,2026-06-05,2026-06-08
S010,Subtask,T003,,LinkedIn – Asset Creation,Create or source the static asset (typically a pull-quote card or stat callout).,,Social Media,2026-06-05,2026-06-08
S011,Subtask,T003,,LinkedIn – Approval,Review post + asset; sign off.,,Social Media,2026-06-08,2026-06-08
S012,Subtask,T003,,LinkedIn – Implementation / Publishing,Schedule in LinkedIn / Buffer / native; confirm publish.,,Social Media,2026-06-09,2026-06-09
T004,Task,,,Content - Blog (Cerkl.com) - Internal Communications in Financial Services — A 2026 Compliance + Engagement Playbook,"Topic: Financial services internal communications playbook framed around the double mandate of compliance and engagement
Slug: internal-communications-in-financial-services
Brief link: ../seo/briefs/internal-communications-in-financial-services.md
Primary keyword: internal communications in financial services
Secondary keywords: banking internal communications, financial services comms, compliance communications financial, internal communications regulated industries, investment banking internal comms
Webflow CMS properties:
  - Primary Category: internal-communication-strategy
  - Primary Solution: Foundations
  - All Categories: Financial Services, Industry verticals
Draft (Google Doc): https://docs.google.com/document/d/1YWdI5Ftu-QjmXZpsoa6KJ-7RwKhKCAYRRsAWbZOqCLg/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-03,2026-06-10
S013,Subtask,T004,,Blog – Copy,Write the blog post copy from the brief / outline.,,Blog Posts,2026-06-03,2026-06-04
S014,Subtask,T004,,Blog – Image Creation,Create or source images per the post outline.,,Blog Posts,2026-06-04,2026-06-05
S015,Subtask,T004,,Blog – Approval,Review draft + edit pass; sign off for publishing.,,Blog Posts,2026-06-08,2026-06-09
S016,Subtask,T004,,Blog – Implementation / Publishing,Stage in Webflow with CMS properties; schedule publish.,,Blog Posts,2026-06-09,2026-06-10
