Work Item ID,Issue Type,Parent ID,Epic Link,Summary,Description,Owner,Channel,Start Date,Due Date
T001,Task,,MCM-992,Content - Blog (Cerkl.com) - Stop Guessing About Your Analytics: 5 Questions Every Internal Communicator Should Answer (Webinar Pre-Event),"Topic: Webinar pre-event blog (cerkl.com) — the 5 analytics questions every internal communicator should answer. Drives registration for the 7/9 Rachel Folz & Maddy Rieman webinar; measurement pillar.
Slug: internal-communications-analytics-questions
Brief link: — (webinar pre-event blog; no SEO brief — produced via webinar-blog-intro skill)
Primary keyword: internal communications analytics
Secondary keywords: employee email read rate, internal communications measurement
Webflow CMS properties:
  - Primary Category: Internal Communications Measurement
  - Primary Solution: Foundations
  - All Categories: Internal Communications Measurement, Internal Communication Strategy
Draft (Google Doc): https://docs.google.com/document/d/13pjmiKmaByApQOrRxWeaIakMxFtLPGIjQRK-moMz9NU/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-24,2026-06-29
S001,Subtask,T001,,Blog – Copy,"Write the blog post copy (cerkl.com) from the webinar brief; 5-analytics-questions angle, CTA to webinar registration.",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-24,2026-06-25
S002,Subtask,T001,,Blog – Image Creation,Create or source images per the post outline.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-25,2026-06-26
S003,Subtask,T001,,Blog – Approval,Review draft + edit pass; sign off for publishing.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-26,2026-06-26
S004,Subtask,T001,,Blog – Implementation / Publishing,Stage in Webflow with CMS properties; schedule publish.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-26,2026-06-29
T002,Task,,MCM-992,"Marketing Email - Email - Webinar Promo #2: Stop Guessing About Your Analytics (Rachel & Maddy, 7/9)","Topic: Webinar Promo Email #2 (value reiteration) — Rachel Folz & Maddy Rieman, ""Stop Guessing About Your Analytics"" (7/9, 12pm EDT). Goal: drive registration; recover from Email #1's Friday flop and beat the July 4 lull, so sent ~7/1 instead of the standard T-3d (7/6). Deepen the value angle; one specific failure point. Audience: prospects + leads marketing segment (NOT current users) — confirmed correct on Email #1's Friday send. Banner: email-banner DAHMM1XUg8I. Registration (tracked, cerkl_email): https://us02web.zoom.us/webinar/register/2317762528324/WN_-vu4-AcITfGJq0KEHysSSw
Draft (HubSpot): ID 216064520627 — https://app.hubspot.com/email/22209301/edit/216064520627/content (cloned from Friday's sent Email #1 215560020657 to inherit verified audience + correct link; confirm send segment in UI before send)",62bb263d268cac6e31c40941,Marketing Emails,2026-06-29,2026-07-01
S005,Subtask,T002,,Email – Copy,Draft Email #2 copy + subject lines (webinar-promo-emails skill; value reiteration).,62bb263d268cac6e31c40941,Marketing Emails,2026-06-29,2026-06-30
S006,Subtask,T002,,Email – Audience Segmentation,Re-point the send audience to the prospects/leads marketing segment in HubSpot (fix Email #1 mis-target).,62bb263d268cac6e31c40941,Marketing Emails,2026-06-30,2026-06-30
S007,Subtask,T002,,Email – Review,"Review copy, links, tracking URL, and banner; sign off.",62bb263d268cac6e31c40941,Marketing Emails,2026-06-30,2026-07-01
S008,Subtask,T002,,Email – Schedule Send,Schedule the send in HubSpot for ~7/1 AM.,62bb263d268cac6e31c40941,Marketing Emails,2026-07-01,2026-07-01
T003,Task,,MCM-992,Content - Blog (ICP) - Stop Guessing About Your Analytics (Webinar Promo),"Topic: ICPro webinar promo (internalcommspro.com) — practitioner-framed promo for the 7/9 webinar; 5 analytics questions every IC should answer. Drive registration.
Slug: stop-guessing-about-your-analytics
Note: ICPro has no brief queue — slug synthesized from the deliverable title at scaffold time
Draft (Google Doc): https://docs.google.com/document/d/11c7UV_WNNMRcD6YH8N9nRquumL-YxF6AbEr-5uRmREs/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-24,2026-06-30
